road_SPREAD,road_Rolling 3P,road_Rolling TOT,road_Rolling ST,road_Rolling TO,road_Rolling BL,road_Rolling PTS,road_Rolling FG%,road_Rolling FT%,home_Rolling 3P,home_Rolling TOT,home_Rolling ST,home_Rolling TO,home_Rolling BL,home_Rolling PTS,home_Rolling FG%,home_Rolling FT%,home team win
8.5,8,25.8,6.4,13.6,4.8,104.2,0.487686719,0.772074636,6.6,23.4,8.6,14,6,107.4,0.548548291,0.728508874,1
10.5,6.8,19.6,6.8,15.2,5.2,99.6,0.469123254,0.791894737,9.4,23.4,7.6,18,9.8,110.4,0.4598332,0.690966545,1
3,7.6,16.4,9.4,16.4,4.8,99.6,0.46476743,0.737729004,6.8,21.2,7.6,10.4,2.6,91.8,0.424124734,0.75813421,1
-3,5,16.8,7,12,3.6,95.6,0.4127184,0.791684455,6.2,21.2,6.2,11.6,4.8,86.2,0.377059204,0.721954023,1
3,7.8,23,9.8,13.8,4.4,95.8,0.427477044,0.728840125,7.4,19.2,8.6,16.4,6.8,97.2,0.425522913,0.795238271,0
-6.5,5.6,19.8,5.8,12.6,7.4,96,0.463441936,0.817261905,8.4,19,7.6,9.8,3,93.2,0.409454648,0.751807643,0
-7,7.6,23.2,10,13.8,6.2,107.8,0.542740605,0.727551936,6.4,22,6.2,17.4,3.8,96.4,0.455045844,0.716058637,0
-4.5,6.8,16.6,9.2,14,4.8,102.4,0.415682932,0.792725262,6.6,21.8,8.4,14.6,5.4,100.6,0.420550257,0.710489309,0
5.5,5.4,21,9,12.2,3.8,97.2,0.463328652,0.63592437,9,23,6.2,16,4.2,101,0.481320352,0.777564832,1
-5.5,9.8,20.6,6.2,15.6,3.6,106.8,0.480116959,0.81165255,8.6,16.6,7.2,17.4,5.2,85,0.387225963,0.788549784,0
2,7.2,25.8,9.4,15.4,4.8,107.8,0.479118091,0.704074565,9,24.8,8.2,12.6,3.2,110,0.463126978,0.818656198,0
11,6.4,17.2,7.4,16,5.4,89.8,0.430141772,0.703413958,5.6,23.4,10.2,12.4,6.8,105,0.476698828,0.777948718,1
14.5,6.2,18,8,15.2,4.8,94.4,0.430398932,0.781894737,8.4,23.4,7.4,14.2,3.6,97.6,0.478656118,0.723333333,1
6,7.2,21.4,7,12.2,3,95,0.434379707,0.734800877,8.2,18.2,9.8,16,4.4,101.2,0.459614787,0.769475036,0
3,9.8,23.6,7,18.2,10.8,113.4,0.483978499,0.715040619,9.4,23.4,10.2,17.2,5.4,101,0.471794872,0.776402545,1
5,4,24.6,6,12.2,4.6,91.6,0.462498751,0.764031648,10.6,22.4,7.4,15.2,4.4,103.8,0.483872724,0.744468864,0
5.5,7.8,25.4,9,16.6,4.4,106.8,0.482428978,0.707335434,7.8,21.8,7.2,16.2,5.2,106.2,0.449611027,0.801942039,1
-1,6.2,22.6,7.2,15,6.4,97,0.450749089,0.833638022,6.8,23,7.6,12.2,6.2,110.4,0.45420185,0.718609972,1
3.5,9.4,16.4,8.8,15.4,5,99.6,0.452641009,0.749588672,6.2,20.2,6.8,11.8,5.6,86.4,0.384466611,0.683333333,0
3,7.4,17,7,17.2,5.8,84.8,0.398182753,0.78021645,7,22,8.6,15.6,4.4,103.2,0.427097112,0.708876405,1
4.5,7,24.6,10,14.2,4,94.4,0.427044144,0.828840125,7.6,16.8,9,13.6,5.8,101,0.40301832,0.777454326,1
-7.5,6.2,19,6.2,12.4,7.8,98.4,0.446996313,0.81031746,6,16,6.6,16,4,89,0.401096607,0.791894737,0
3.5,7.8,22.4,7,17.6,5.2,99,0.49062354,0.754945785,6,20.4,9.6,13.6,4.4,93.6,0.45148073,0.633543417,0
-1,9,25,8,14,4.2,103.2,0.496471402,0.773333333,3.8,24.2,6.4,11.4,5,93.4,0.457104812,0.806136911,0
9,5.2,17,6.4,12.4,4.2,95.6,0.416135525,0.773184455,7.8,24.2,8.8,13,3.2,108.2,0.4553492,0.802168742,1
7,6.6,17.4,7.6,15.8,4.8,90,0.418443718,0.814942704,6,23.2,10,13.2,7.8,106.8,0.490608329,0.744615385,1
10.5,7.4,20.4,8,16,5.6,93.2,0.438778918,0.724283523,10.4,25.2,9.8,16.4,5.4,107.4,0.503846154,0.765147134,1
3.5,6.2,21.8,5.6,14.4,5.8,95,0.422744554,0.803923736,9.8,21.2,6.8,15.8,4.2,103.2,0.459073284,0.758319217,1
-5,9.6,23.8,6.4,14.6,4.4,102,0.487062217,0.736776557,9.8,27,7.2,15,6.8,101,0.45814721,0.712876013,1
10.5,8,21.8,7.8,12.2,3,100.6,0.434572015,0.760364787,8.6,24.6,9,15.8,4.4,103.2,0.455037674,0.679240196,1
15,6.2,23,7.8,18.2,3.6,101.6,0.457526017,0.68007316,6,18,7,12.8,7.8,98.6,0.448323473,0.826984127,1
1.5,8.8,18.8,8.2,10.8,3.8,94.6,0.407844892,0.771685939,6.4,23.2,8.8,13.2,4,93,0.422765074,0.844755245,1
9.5,5.6,15.2,7.2,17.2,3.8,88.8,0.427221207,0.803450292,8.4,22,8.8,17.4,4.4,100,0.486773273,0.735898166,0
13,8.6,22,8,18.2,4,97,0.457217913,0.765976536,9.6,23.4,11.6,16,6,109.8,0.52995035,0.773507818,1
6,7.8,23,9.8,12.8,3.4,105.6,0.428067329,0.799158709,10.8,25.2,7.2,15.8,8.4,115.4,0.506409577,0.737090909,1
2,6.2,20.4,7,12.8,5.4,86.8,0.394412763,0.655454545,6.8,20,6.8,16.8,6.4,87.2,0.402810492,0.750454545,0
12.5,7.2,17.8,7.6,16,3.6,93.8,0.442270557,0.799942704,8,25.6,8.6,14.4,4,99.6,0.494905779,0.7375,1
5,9.8,24,10,16.6,5.8,107,0.50756044,0.776453176,7.6,24,7.8,12.4,8,109.8,0.45467804,0.657330511,1
4.5,11,22.4,8,15,4.2,104.8,0.457558132,0.823246753,9.8,22.8,7,13.6,4.2,98.4,0.449989046,0.703809524,0
2,6,21,8.8,14.2,5,92.4,0.452137545,0.627482811,5.6,15.6,7,13.4,3.2,94.6,0.420012948,0.7576289,0
6.5,6.4,19.2,5.4,15,4.6,94.8,0.417925277,0.798618696,9.6,23,7,14.8,4.6,101.6,0.461398823,0.635972222,1
1.5,10,17.8,8.4,16.8,3.8,99,0.449490826,0.708856407,9,21.4,7.8,18,4.2,98,0.457685671,0.799693011,0
12.5,7,21.2,8.2,15.2,5.4,89.6,0.43600114,0.714027113,7.4,22.6,7.2,16.2,5,106,0.464278061,0.769340159,1
4,7.4,21.8,7.8,13,3.2,99.6,0.431428882,0.765872033,10,26.4,7.6,14.2,6,103.4,0.477182205,0.754706078,1
3,5,15.4,6.2,17.6,4.4,88.4,0.427529849,0.800394265,5.6,19.4,7.2,12.4,4.6,88.8,0.413114061,0.626565657,0
7,8.2,22,10.4,11.6,4,103.2,0.410194989,0.794205149,5.8,17,7,14,8.2,100.8,0.443060315,0.823475355,1
7,6.8,21,6.4,16.2,5.4,83.4,0.384209538,0.724191919,5.8,19.8,8.6,13.6,4.4,94.8,0.45772578,0.642482811,1
12.5,11.2,19.6,7.2,15.8,5.4,102,0.46028642,0.62167692,8.4,21.4,11,15.8,5.2,106.4,0.508366449,0.818379613,1
-1,11.2,23.6,6.8,16.6,7.2,114.4,0.520623712,0.771590909,3.2,22.6,6.6,10.8,4.4,93.2,0.459238958,0.829666323,0
6.5,8.6,24.2,7,14.4,7,108,0.463285635,0.662195376,8.8,23,9.4,14,5,106.2,0.48802021,0.789024605,0
9.5,6.4,23.2,11,12.6,8.4,108.8,0.483790148,0.717575758,8.6,25.8,8.6,15,4.6,103,0.511029375,0.748567194,1
-5,5.8,19.8,4.6,14.8,3.8,92,0.406937623,0.741410458,6.8,21.4,8.2,15.2,5.4,87.8,0.437951303,0.676409558,1
7,8.6,18.8,7.4,12,3.8,93.4,0.411558861,0.713224401,11.2,23.6,7.8,14.4,5.6,105.6,0.446043668,0.807142857,1
7,8,17.4,6.6,14.4,2.8,94,0.423565717,0.750349206,7,19.2,7.6,13.8,6.4,99.4,0.431223448,0.777132265,0
5.5,9.4,23.8,7.8,12.4,7,100.2,0.457743823,0.752801316,6.8,24.8,7.4,13.8,4.2,96.8,0.447606022,0.853846154,1
7.5,8.8,20.8,7.2,16.8,4.4,96.2,0.458778108,0.797208539,7.4,21.6,9.2,16,4,94.8,0.467896331,0.74127451,0
-1,8.4,21.6,5.4,16,4,95.4,0.447750859,0.679047619,6.2,22.8,11,13,9,108.4,0.479126426,0.742121212,0
-7.5,6.4,18,8.6,15.4,7,99.6,0.441794493,0.760170033,4.6,18.8,6.6,14,4.6,89.8,0.432423732,0.646565657,0
4,6,21,9.6,17.8,4,100.6,0.433130212,0.673551421,8.6,22.6,7.4,16.2,3.4,99.2,0.474617074,0.824351396,1
-2,3.8,21.6,7.6,12,4.8,92.6,0.455106964,0.785221878,5.8,17,6.6,15.6,3.8,90,0.435960081,0.79563236,0
